snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
0.0000000000,3.3698826835,0.8937917576,0.0134791332,0.7926684170,1.2688474917,3.0836295529,0.4210042318,0.4519287109,0.4990722656,0.4602620443,0.4654947917,0.4467854818,4.6298001057,2.3789898595,2.3789898595,2.0786355302,4.9112946916,4.7768583968,-0.8803126244,-0.2862531306,2.1898377954,3.0701504197,2.2909611359,1.8147820612,1.2599174222,1.4851981019,2.3655107263,1.2859671132,3.6424471999,1.6932288438,0.1960002643,0.1960002643,0.9051829541,0.1831943005,0.1099167358
2.5000000000,5.3288002128,0.8007612982,0.1256194586,0.5640216674,2.7822723858,4.5568369842,0.3916097005,0.4368408203,0.4876708984,0.4509277344,0.4343424479,0.4217203776,7.2123955779,4.1381116521,4.1381116521,3.3280736256,7.4997012698,7.3994223497,-0.6751418396,-0.7719632286,3.7560756860,4.4312175256,3.9928153168,1.7745645983,1.8835953651,3.3373503539,4.0124921935,2.7640519583,4.7174288839,2.8425853655,0.1303511450,0.1303511450,0.9051829541,0.1163841229,0.0938714062
5.0000000000,7.8398557799,0.3195402647,0.7291961972,0.1231192387,4.9884666410,6.9238124250,0.3553955078,0.4162434896,0.4595540365,0.4423095703,0.4007080078,0.3835205078,10.5318955043,6.5846061367,6.5846061367,5.1282888277,10.8002216774,11.0324543747,0.4096559326,-0.9160433549,6.6042721603,6.1946162277,6.8006931863,1.9353457839,2.6920397245,6.2650658720,5.8554099395,5.0051695890,5.8117550363,4.1086419498,0.0882691624,0.0882691624,0.9051829541,0.0761663487,0.0638430764
7.5000000000,11.0350596832,0.0563678725,2.1004109174,0.0000000000,8.1043945109,10.1508369255,0.3163981120,0.3924479167,0.4257731120,0.4344645182,0.3566975911,0.3365722656,14.4735609980,10.0884717715,10.0884717715,7.5800547829,14.8358148839,15.4249749272,2.0440430449,-0.8842227576,10.0944690531,8.0504260081,10.1508369255,2.0464424146,3.4385013148,10.0321038990,7.9880608541,7.5800547829,6.7314203729,5.2741380017,0.0544075466,0.0544075466,0.9051829541,0.0481137538,0.0404266927
10.0000000000,14.7131908283,0.0072585697,4.9832114569,0.0000000000,12.2088363733,14.4452665149,0.2746337891,0.3669026693,0.3681396484,0.4292154948,0.3034912109,0.2839029948,18.9709969736,14.6960223214,14.6960223214,10.7409725022,19.5129570921,20.5120266071,4.9759528872,-0.2679243134,14.4380079452,9.4620550580,14.4452665149,2.2364301416,4.2578061453,14.6887637517,9.7128108645,10.7409725022,7.3041207187,6.0667600922,0.0336685455,0.0336685455,0.9051829541,0.0322320374,0.0282922359
12.5000000000,18.9354608003,0.0000000000,9.7326948732,0.0000000000,16.9972201076,19.3820630144,0.2329020182,0.3417236328,0.2993164062,0.4243245443,0.2546793620,0.2296875000,23.8809770944,20.0614212076,20.0614212076,14.6157146733,24.5679988757,26.2393950200,9.7326948732,0.4466022142,19.3820630144,9.6493681413,19.3820630144,2.3848429069,4.9455162941,20.0614212076,10.3287263345,14.6157146733,7.5707787681,6.8573320055,0.0208183387,0.0208183387,0.9051829541,0.0211263846,0.0183413415
15.0000000000,23.0483530106,0.0000000000,15.4100097558,0.0000000000,21.8619949519,24.5531445190,0.1950927734,0.3192545573,0.2366617839,0.4214925130,0.2078369141,0.1851643880,29.0020635111,25.7175930285,25.7175930285,19.1582725201,29.8087526233,31.5644573673,15.4100097558,1.5047915084,24.5531445190,9.1431347632,24.5531445190,2.6911495672,5.9537105005,25.7175930285,10.3075832727,19.1582725201,7.9467576715,7.0113128482,0.0129390610,0.0129390610,0.9051829541,0.0136149314,0.0117747256
17.5000000000,27.2468985699,0.0000000000,21.8300782899,0.0000000000,26.9662673664,30.0904642919,0.1589680990,0.2990885417,0.1758870443,0.4186767578,0.1573567708,0.1346191406,34.3520636592,31.6723376280,31.6723376280,24.2829638342,35.2127000999,37.4731696610,21.8300782899,2.8435657220,30.0904642919,8.2603860020,30.0904642919,3.1241969255,7.1051650893,31.6723376280,9.8422593381,24.2829638342,8.2464327336,7.3827053691,0.0079379619,0.0079379619,0.9051829541,0.0085747540,0.0076763196
20.0000000000,31.0015187110,0.0000000000,28.3871020687,0.0000000000,32.0891941572,36.1841088171,0.1288736979,0.2849039714,0.1244710286,0.4180989583,0.1075358073,0.0801350911,39.9058248593,37.8166799858,37.8166799858,29.8807709628,40.9658402735,44.4785376606,28.3871020687,5.1825901061,36.1841088171,7.7970067484,36.1841088171,4.0949146599,8.9043061483,37.8166799858,9.4295779171,29.8807709628,8.8766461163,8.2944288435,0.0048221953,0.0048221953,0.9051829541,0.0051824484,0.0049909394
22.5000000000,34.3526959784,0.0000000000,34.7648646139,0.0000000000,37.5971855450,41.1585057873,0.1029215495,0.2700927734,0.0785563151,0.4164957682,0.0694661458,0.0477376302,45.7738311995,44.2058313496,44.2058313496,35.8373060854,47.0997231440,50.6858459459,34.7648646139,6.8058098090,41.1585057873,6.3936411734,41.1585057873,3.5613202424,11.4211352212,44.2058313496,9.4409667356,35.8373060854,9.5025375990,9.5273401586,0.0029047495,0.0029047495,0.9051829541,0.0031046138,0.0030640332
25.0000000000,37.1292707335,0.0000000000,40.0842961017,0.0000000000,41.9600184498,45.4895713807,0.0805257161,0.2587809245,0.0440429688,0.4159830729,0.0324788411,0.0122639974,51.8226836459,50.6799882561,50.6799882561,42.0482264092,52.9131618248,57.6441213773,40.0842961017,8.3603006472,45.4895713807,5.4052752789,45.4895713807,3.5295529309,14.6934129124,50.6799882561,10.5956921544,42.0482264092,10.9531433750,12.1545499966,0.0017303190,0.0017303190,0.9051829541,0.0018354517,0.0020840453
27.5000000000,39.3980340942,0.0000000000,43.9685231307,0.0000000000,45.1230086252,47.2332109559,0.0631591797,0.2506429036,0.0213541667,0.4156331380,0.0148518880,0.0034261068,58.0210584312,57.2240083744,57.2240083744,48.4288386447,58.9707601870,63.6054955928,43.9685231307,7.8351768617,47.2332109559,3.2646878252,47.2332109559,2.1102023307,18.6230243370,57.2240083744,13.2554852436,48.4288386447,13.8477515618,16.3722846369,0.0010209600,0.0010209600,0.9051829541,0.0010729091,0.0012826866
30.0000000000,41.3939400693,0.0000000000,46.4329132276,0.0000000000,46.8719396214,47.8324716465,0.0473714193,0.2458496094,0.0079101562,0.4158284505,0.0055419922,0.0007080078,64.3536208559,63.8256777770,63.8256777770,54.9169186426,65.0541332456,68.8188784212,46.4329132276,6.4385315772,47.8324716465,1.3995584189,47.8324716465,0.9605320251,22.9596807866,63.8256777770,17.3927645494,54.9169186426,18.1821936242,20.9864067747,0.0005974117,0.0005974117,0.9051829541,0.0006224746,0.0007940562
32.5000000000,43.0987090171,0.0000000000,47.6187648379,0.0000000000,47.7184910139,47.9870287083,0.0343994141,0.2425292969,0.0018229167,0.4156331380,0.0015136719,0.0000895182,70.8048343627,70.4686932847,70.4686932847,61.4703503519,71.2031283452,73.5960040109,47.6187648379,4.8883196912,47.9870287083,0.3682638704,47.9870287083,0.2685376944,27.7061253457,70.4686932847,22.8499284468,61.4703503519,23.4846373313,25.6089753026,0.0003467609,0.0003467609,0.9051829541,0.0003574328,0.0004266438
35.0000000000,44.4570149409,0.0000000000,47.9493754202,0.0000000000,47.9532869567,47.9941494182,0.0243733724,0.2386962891,0.0002441406,0.4154703776,0.0001953125,0.0000244141,77.3274934089,77.1180237965,77.1180237965,68.0623788795,77.3805654543,78.4019827058,47.9493754202,3.5371344773,47.9941494182,0.0447739980,47.9941494182,0.0408624615,32.8704784680,77.1180237965,29.1686483763,68.0623788795,29.4272784976,30.4078332877,0.0001991617,0.0001991617,0.9051829541,0.0002028655,0.0002191885
